"Entry Title","Entry ID","MMGBSA dG Bind"
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1943",145,-78.584891
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1944",146,-78.566486
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1945",147,-77.090688
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1946",148,-88.482332
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1947",149,-78.673487
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1948",150,-83.555110
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1949",151,-80.175879
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1950",152,-78.695311
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1951",153,-78.723055
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1952",154,-79.786378
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1953",155,-78.440813
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1954",156,-78.497598
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1955",157,-82.775201
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1956",158,-78.619398
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1957",159,-78.510538
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1958",160,-78.770086
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1959",161,-78.910689
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1960",162,-81.139168
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1961",163,-82.612845
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1962",164,-78.562496
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1963",165,-80.264120
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1964",166,-80.102401
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1965",167,-78.543208
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1966",168,-80.421130
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1967",169,-80.218708
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1968",170,-78.493949
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1969",171,-82.368398
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1970",172,-80.105526
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1971",173,-78.636009
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1972",174,-80.124911
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1973",175,-78.452663
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1974",176,-78.532994
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1975",177,-82.248734
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1976",178,-78.484976
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1977",179,-80.431057
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1978",180,-78.603894
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1979",181,-82.347764
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1980",182,-80.107381
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1981",183,-79.416698
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1982",184,-79.629851
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1983",185,-78.687213
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1984",186,-83.288626
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1985",187,-78.531538
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1986",188,-79.386466
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1987",189,-78.633823
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1988",190,-78.513496
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1989",191,-80.143104
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1990",192,-80.896943
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1991",193,-79.665472
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1992",194,-78.647165
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1993",195,-80.277736
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1994",196,-78.724256
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1995",197,-78.501370
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1996",198,-83.164811
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1997",199,-78.390022
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1998",200,-78.634220
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1999",201,-78.561868
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 2000",202,-80.175389
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 2001",203,-84.471292
